Order ID,Order Date,Customer ID,Region,Category,Product Name,Quantity,Unit Price,Amount
ORD-00028,2025-08-05,C0192,Fukuoka,Office Supplies,Pen Set,5,13574,57689
ORD-00029,2025-09-22,C0033,Nagoya,Software,Security Tool,4,7862,31448
ORD-00030,2025-01-11,C0113,Tokyo,Books,Design Book,4,19782,79128
ORD-00031,2025-02-06,C0170,Tokyo,Electronics,Mouse,2,1529,3058
ORD-00032,2025-09-21,C0277,Osaka,Office Supplies,File Folder,8,7520,60160
ORD-00033,2025-10-20,C0243,Fukuoka,Books,Programming Book,4,26210,104840
ORD-00034,2025-04-08,C0217,Fukuoka,Electronics,Keyboard,7,12109,105953
ORD-00035,2025-08-28,C0174,Tokyo,Electronics,Keyboard,1,13693,11639
ORD-00036,2025-05-08,C0072,Fukuoka,Office Supplies,Pen Set,9,15200,136800
ORD-00037,2025-04-04,C0039,Fukuoka,Furniture,Office Chair,4,29155,145775
ORD-00038,2025-10-09,C0008,Tokyo,Electronics,Keyboard,9,27894,251046
ORD-00039,2025-05-02,C0110,Fukuoka,Office Supplies,Copy Paper,8,16273,130184
ORD-00040,2025-01-31,C0136,Fukuoka,Office Supplies,Copy Paper,1,13293,13293
ORD-00041,2025-05-27,C0250,Osaka,Software,Design Tool,9,22188,199692
ORD-00042,2025-04-08,C0278,Tokyo,Furniture,Desk,1,19478,24347
ORD-00043,2025-06-10,C0258,Sapporo,Electronics,Keyboard,10,16123,161230
ORD-00044,2025-03-22,C0035,Osaka,Electronics,Keyboard,3,2745,10293
ORD-00045,2025-07-26,C0021,Sapporo,Electronics,Mouse,10,19981,169838
ORD-00046,2025-02-11,C0268,Nagoya,Software,Design Tool,10,19021,190210
ORD-00047,2025-05-14,C0203,Osaka,Office Supplies,File Folder,4,9203,36812
ORD-00048,2025-12-10,C0038,Tokyo,Furniture,Office Chair,6,25137,188527
ORD-00049,2025-08-23,C0276,Osaka,Books,Design Book,2,2900,4930
ORD-00050,2025-09-17,C0036,Osaka,Furniture,Desk,6,29364,176184
ORD-00051,2025-07-09,C0279,Nagoya,Furniture,Desk,8,27820,189176
ORD-00052,2025-11-10,C0054,Osaka,Books,Business Book,9,10310,115987
ORD-00053,2025-05-16,C0140,Nagoya,Electronics,Keyboard,9,5593,50337
ORD-00054,2025-11-06,C0136,Sapporo,Office Supplies,File Folder,4,23027,115135
ORD-00055,2025-09-08,C0217,Nagoya,Furniture,Desk,2,21284,42568
ORD-00056,2025-01-23,C0135,Osaka,Electronics,Monitor,3,21376,64128
ORD-00057,2025-08-15,C0005,Tokyo,Books,Design Book,7,18879,112330
ORD-00058,2025-02-08,C0283,Osaka,Office Supplies,Notebook,6,19587,117522
ORD-00059,2025-08-09,C0021,Nagoya,Office Supplies,Notebook,5,12448,52904
ORD-00060,2025-04-18,C0287,Fukuoka,Office Supplies,Notebook,6,26062,195465
ORD-00061,2025-11-14,C0091,Fukuoka,Office Supplies,Pen Set,3,26710,100162
ORD-00062,2025-01-13,C0128,Nagoya,Office Supplies,File Folder,7,26787,187509
ORD-00063,2025-03-23,C0241,Osaka,Electronics,Webcam,1,28634,35792
ORD-00064,2025-04-13,C0117,Osaka,Software,Accounting App,5,27387,171168
ORD-00065,2025-01-13,C0036,Nagoya,Office Supplies,Copy Paper,6,9629,57774
ORD-00066,2025-06-29,C0015,Tokyo,Books,Programming Book,9,11351,102159
ORD-00067,2025-05-14,C0223,Nagoya,Office Supplies,File Folder,1,4052,4052
ORD-00068,2025-06-10,C0198,Sapporo,Software,Design Tool,9,4289,38601
ORD-00069,2025-04-08,C0267,Sapporo,Furniture,Desk,7,555,4856
ORD-00070,2025-12-18,C0170,Sapporo,Office Supplies,File Folder,7,2792,24430
ORD-00071,2025-06-10,C0210,Nagoya,Electronics,Monitor,9,10634,95706
ORD-00072,2025-07-26,C0216,Fukuoka,Furniture,Bookshelf,3,6786,17304
ORD-00073,2025-12-13,C0001,Nagoya,Office Supplies,File Folder,7,18454,161472
ORD-00074,2025-05-27,C0165,Fukuoka,Office Supplies,Copy Paper,10,20379,203790
ORD-00075,2025-08-15,C0243,Osaka,Software,Design Tool,4,17250,58650
ORD-00076,2025-12-04,C0172,Tokyo,Electronics,Monitor,9,22253,250346
ORD-00077,2025-05-01,C0013,Tokyo,Furniture,Desk,4,5328,21312
ORD-00078,2025-05-06,C0213,Sapporo,Software,Design Tool,2,15423,30846
ORD-00079,2025-04-10,C0076,Tokyo,Software,Accounting App,7,8494,74322
ORD-00080,2025-02-24,C0266,Fukuoka,Software,Security Tool,3,26849,80547
ORD-00081,2025-01-26,C0069,Fukuoka,Books,Business Book,2,15457,30914
ORD-00082,2025-12-08,C0227,Sapporo,Books,Design Book,10,10897,136212
ORD-00083,2025-09-16,C0082,Fukuoka,Software,Design Tool,8,29899,239192
ORD-00084,2025-08-19,C0267,Fukuoka,Furniture,Desk,5,25594,108774
ORD-00085,2025-11-17,C0147,Osaka,Office Supplies,File Folder,8,3038,30380
ORD-00086,2025-05-20,C0071,Osaka,Furniture,Office Chair,9,3140,28260
ORD-00087,2025-04-29,C0110,Tokyo,Software,Design Tool,3,23647,88676
ORD-00088,2025-08-01,C0213,Tokyo,Software,Accounting App,9,15767,120617
ORD-00089,2025-04-16,C0011,Sapporo,Software,Accounting App,10,23290,291125
ORD-00090,2025-07-14,C0200,Fukuoka,Software,Security Tool,6,10284,52448
ORD-00091,2025-10-03,C0113,Nagoya,Books,Design Book,4,16498,65992
ORD-00092,2025-08-12,C0208,Osaka,Software,Security Tool,7,11514,68508
ORD-00093,2025-08-28,C0289,Tokyo,Office Supplies,Notebook,7,19895,118375
ORD-00094,2025-02-12,C0026,Nagoya,Software,Security Tool,8,6454,51632
ORD-00095,2025-07-14,C0173,Fukuoka,Furniture,Desk,8,11210,76228
ORD-00096,2025-05-23,C0010,Sapporo,Software,Accounting App,2,15911,31822
ORD-00097,2025-01-27,C0021,Tokyo,Furniture,Desk,2,26099,52198
ORD-00098,2025-05-07,C0123,Osaka,Office Supplies,Notebook,10,5493,54930
ORD-00099,2025-08-31,C0132,Nagoya,Electronics,Mouse,8,23420,159256
ORD-00100,2025-03-27,C0084,Nagoya,Books,Design Book,2,25986,64965
ORD-00101,2025-02-25,C0193,Fukuoka,Books,Business Book,5,19367,96835
ORD-00102,2025-04-12,C0155,Sapporo,Electronics,Mouse,2,23345,58362
ORD-00103,2025-03-03,C0220,Nagoya,Books,Business Book,6,17956,134670
ORD-00104,2025-02-05,C0216,Fukuoka,Books,Design Book,6,914,5484
ORD-00105,2025-02-24,C0079,Fukuoka,Software,Accounting App,8,23677,189416
ORD-00106,2025-04-01,C0276,Fukuoka,Books,Design Book,5,20682,129262
ORD-00107,2025-08-27,C0166,Osaka,Software,Design Tool,10,9294,78999
ORD-00108,2025-02-14,C0238,Sapporo,Furniture,Office Chair,4,25091,100364
ORD-00109,2025-11-09,C0167,Osaka,Software,Accounting App,1,16697,20871
ORD-00110,2025-09-07,C0144,Sapporo,Office Supplies,File Folder,5,11652,58260
ORD-00111,2025-12-26,C0098,Tokyo,Furniture,Bookshelf,1,17428,21785
ORD-00112,2025-05-04,C0124,Fukuoka,Software,Accounting App,9,25343,228087
ORD-00113,2025-11-27,C0151,Osaka,Software,Accounting App,1,3549,4436
ORD-00114,2025-07-27,C0243,Sapporo,Office Supplies,File Folder,10,12592,107032
ORD-00115,2025-09-29,C0181,Fukuoka,Furniture,Office Chair,9,11339,102051
ORD-00116,2025-05-19,C0099,Nagoya,Furniture,Office Chair,4,4453,17812
ORD-00117,2025-03-03,C0111,Fukuoka,Books,Design Book,3,6776,25410
ORD-00118,2025-05-22,C0052,Osaka,Books,Design Book,10,9773,97730
ORD-00119,2025-06-01,C0008,Sapporo,Office Supplies,File Folder,3,10404,31212
ORD-00120,2025-03-06,C0150,Osaka,Furniture,Desk,1,18632,23290
ORD-00121,2025-11-23,C0146,Fukuoka,Software,Security Tool,1,19310,24137
ORD-00122,2025-09-03,C0130,Fukuoka,Software,Accounting App,3,2183,6549
ORD-00123,2025-02-28,C0296,Tokyo,Electronics,Webcam,8,2927,23416
ORD-00124,2025-03-19,C0061,Sapporo,Office Supplies,File Folder,2,8632,21580
ORD-00125,2025-08-02,C0268,Fukuoka,Books,Design Book,10,7895,67107
ORD-00126,2025-08-19,C0157,Sapporo,Software,Accounting App,10,14551,123683
ORD-00127,2025-11-14,C0109,Nagoya,Electronics,Keyboard,4,20996,104980
ORD-00128,2025-12-05,C0283,Tokyo,Electronics,Mouse,4,6195,30975
ORD-00129,2025-03-22,C0241,Nagoya,Electronics,Webcam,8,23089,230890
ORD-00130,2025-01-17,C0233,Tokyo,Office Supplies,File Folder,5,23535,117675
ORD-00131,2025-12-18,C0102,Fukuoka,Office Supplies,File Folder,10,22165,277062
ORD-00132,2025-02-28,C0073,Tokyo,Books,Business Book,3,9204,27612
ORD-00133,2025-01-31,C0292,Nagoya,Office Supplies,File Folder,10,25041,250410
ORD-00134,2025-08-13,C0207,Nagoya,Electronics,Webcam,5,23428,99569
ORD-00135,2025-09-14,C0021,Fukuoka,Books,Programming Book,8,3135,25080
ORD-00136,2025-06-15,C0118,Sapporo,Books,Programming Book,1,3492,3492
ORD-00137,2025-10-28,C0090,Fukuoka,Electronics,Monitor,10,1818,18180
ORD-00138,2025-09-23,C0224,Fukuoka,Software,Accounting App,3,19680,59040
ORD-00139,2025-02-16,C0165,Tokyo,Software,Accounting App,7,11421,79947
ORD-00140,2025-03-24,C0206,Sapporo,Furniture,Office Chair,8,9944,99440
ORD-00141,2025-01-19,C0166,Tokyo,Software,Security Tool,6,8770,52620
ORD-00142,2025-07-26,C0212,Tokyo,Books,Business Book,9,15638,119630
ORD-00143,2025-04-07,C0256,Fukuoka,Books,Programming Book,10,25287,316087
ORD-00144,2025-01-27,C0148,Fukuoka,Office Supplies,File Folder,9,4793,43137
ORD-00145,2025-12-24,C0123,Osaka,Software,Security Tool,1,21144,26430
ORD-00146,2025-06-09,C0048,Osaka,Books,Business Book,9,13869,124821
ORD-00147,2025-02-28,C0150,Sapporo,Software,Security Tool,3,16830,50490
ORD-00148,2025-12-28,C0125,Fukuoka,Furniture,Office Chair,8,15973,159730
ORD-00149,2025-10-10,C0261,Osaka,Office Supplies,Copy Paper,4,20140,80560
ORD-00150,2025-02-05,C0260,Nagoya,Furniture,Office Chair,6,26311,157866
ORD-00151,2025-01-02,C0297,Fukuoka,Furniture,Bookshelf,5,27942,139710
ORD-00152,2025-03-18,C0171,Sapporo,Software,Design Tool,8,11809,118090
ORD-00153,2025-10-06,C0097,Osaka,Software,Accounting App,6,28995,173970
ORD-00154,2025-10-20,C0163,Fukuoka,Software,Security Tool,7,1930,13510
ORD-00155,2025-12-28,C0019,Osaka,Software,Accounting App,3,16730,62737
ORD-00156,2025-09-15,C0226,Tokyo,Books,Programming Book,2,29145,58290
ORD-00157,2025-09-27,C0080,Tokyo,Software,Security Tool,3,13934,41802
ORD-00158,2025-08-29,C0204,Tokyo,Furniture,Office Chair,10,23198,197183
ORD-00159,2025-06-18,C0250,Sapporo,Books,Programming Book,6,21038,126228
ORD-00160,2025-01-19,C0148,Osaka,Books,Business Book,4,21181,84724
ORD-00161,2025-02-16,C0086,Nagoya,Software,Security Tool,2,15038,30076
ORD-00162,2025-01-15,C0184,Nagoya,Electronics,Monitor,1,10113,10113
ORD-00163,2025-08-09,C0290,Osaka,Office Supplies,Pen Set,9,14002,107115
ORD-00164,2025-03-29,C0196,Sapporo,Office Supplies,Notebook,10,29035,362937
ORD-00165,2025-12-16,C0119,Fukuoka,Office Supplies,Copy Paper,10,5189,64862
ORD-00166,2025-11-23,C0005,Fukuoka,Furniture,Office Chair,5,22351,139693
ORD-00167,2025-05-28,C0177,Sapporo,Books,Business Book,2,14974,29948
ORD-00168,2025-06-03,C0155,Osaka,Software,Design Tool,5,15469,77345
ORD-00169,2025-07-16,C0293,Nagoya,Software,Security Tool,4,12996,44186
ORD-00170,2025-10-22,C0203,Nagoya,Furniture,Bookshelf,5,1218,6090
ORD-00171,2025-01-05,C0255,Nagoya,Books,Design Book,1,20370,20370
ORD-00172,2025-04-28,C0098,Sapporo,Books,Programming Book,4,21360,106800
ORD-00173,2025-05-09,C0226,Tokyo,Office Supplies,Notebook,1,10623,10623
ORD-00174,2025-10-24,C0152,Nagoya,Furniture,Bookshelf,3,3453,10359
ORD-00175,2025-08-01,C0277,Nagoya,Office Supplies,Pen Set,3,26272,66993
ORD-00176,2025-09-29,C0247,Nagoya,Books,Programming Book,3,8920,26760
ORD-00177,2025-06-23,C0116,Fukuoka,Electronics,Webcam,2,5112,10224
ORD-00178,2025-10-13,C0136,Sapporo,Furniture,Desk,7,956,6692
ORD-00179,2025-03-05,C0196,Nagoya,Software,Accounting App,5,19654,122837
ORD-00180,2025-02-25,C0288,Nagoya,Office Supplies,Copy Paper,1,20801,20801
ORD-00181,2025-11-09,C0155,Fukuoka,Office Supplies,Notebook,8,23472,234720
ORD-00182,2025-03-01,C0253,Tokyo,Office Supplies,Notebook,1,10473,13091
ORD-00183,2025-02-19,C0190,Sapporo,Office Supplies,Pen Set,7,15364,107548
ORD-00184,2025-08-03,C0213,Tokyo,Books,Design Book,3,29513,75258
ORD-00185,2025-09-08,C0190,Osaka,Books,Programming Book,5,1572,7860
ORD-00186,2025-08-16,C0189,Sapporo,Software,Security Tool,6,3755,19150
ORD-00187,2025-11-27,C0098,Tokyo,Furniture,Desk,7,9540,83475
ORD-00188,2025-08-21,C0026,Nagoya,Electronics,Mouse,10,1199,10191
ORD-00189,2025-05-05,C0284,Osaka,Office Supplies,Pen Set,2,27691,55382
ORD-00190,2025-10-28,C0076,Sapporo,Office Supplies,Pen Set,6,25874,155244
ORD-00191,2025-01-02,C0129,Osaka,Furniture,Desk,3,18201,54603
ORD-00192,2025-02-26,C0122,Sapporo,Electronics,Mouse,1,12238,12238
ORD-00193,2025-06-15,C0065,Fukuoka,Electronics,Mouse,5,2217,11085
ORD-00194,2025-09-27,C0186,Sapporo,Electronics,Keyboard,8,15189,121512
ORD-00195,2025-10-31,C0023,Sapporo,Electronics,Webcam,9,7759,69831
ORD-00196,2025-06-04,C0246,Fukuoka,Software,Design Tool,1,2493,2493
ORD-00197,2025-08-07,C0042,Nagoya,Electronics,Webcam,8,2908,19774
ORD-00198,2025-11-08,C0300,Sapporo,Office Supplies,Notebook,3,9511,35666
ORD-00199,2025-12-31,C0151,Fukuoka,Furniture,Office Chair,10,17885,223562
ORD-00200,2025-09-16,C0059,Sapporo,Books,Programming Book,2,26488,52976
ORD-00201,2025-04-21,C0174,Fukuoka,Software,Accounting App,4,14059,70295
ORD-00202,2025-07-24,C0219,Nagoya,Software,Design Tool,2,10741,18259
ORD-00203,2025-12-07,C0243,Tokyo,Furniture,Office Chair,3,23005,86268
ORD-00204,2025-02-16,C0191,Osaka,Electronics,Keyboard,7,3664,25648
ORD-00205,2025-10-12,C0182,Fukuoka,Electronics,Monitor,2,13961,27922
ORD-00206,2025-01-27,C0054,Sapporo,Furniture,Bookshelf,5,12022,60110
ORD-00207,2025-09-17,C0056,Nagoya,Office Supplies,Pen Set,8,7848,62784
ORD-00208,2025-10-12,C0116,Fukuoka,Furniture,Desk,5,19312,96560
ORD-00209,2025-10-15,C0137,Tokyo,Books,Design Book,9,1360,12240
ORD-00210,2025-04-03,C0180,Tokyo,Furniture,Bookshelf,5,11635,72718
ORD-00211,2025-04-03,C0016,Tokyo,Office Supplies,Copy Paper,2,5148,12870
ORD-00212,2025-09-29,C0175,Osaka,Office Supplies,Copy Paper,7,15365,107555
ORD-00213,2025-07-09,C0291,Sapporo,Furniture,Bookshelf,6,25955,132370
ORD-00214,2025-02-13,C0026,Tokyo,Electronics,Mouse,3,25221,75663
ORD-00215,2025-05-20,C0227,Fukuoka,Software,Design Tool,7,16414,114898
ORD-00216,2025-05-20,C0057,Nagoya,Office Supplies,Notebook,6,14587,87522
ORD-00217,2025-12-14,C0158,Tokyo,Books,Programming Book,9,22360,251550
ORD-00218,2025-04-23,C0105,Nagoya,Software,Design Tool,1,751,938
ORD-00219,2025-04-19,C0062,Tokyo,Office Supplies,File Folder,5,11251,70318
ORD-00220,2025-09-12,C0273,Osaka,Software,Security Tool,3,12958,38874
ORD-00221,2025-09-14,C0204,Tokyo,Books,Design Book,6,2861,17166
ORD-00222,2025-08-12,C0161,Sapporo,Electronics,Webcam,2,28749,48873
ORD-00223,2025-08-08,C0059,Fukuoka,Books,Programming Book,7,9986,59416
ORD-00224,2025-01-11,C0186,Tokyo,Furniture,Desk,10,15576,155760
ORD-00225,2025-08-12,C0206,Sapporo,Electronics,Mouse,7,19796,117786
ORD-00226,2025-02-10,C0171,Osaka,Software,Accounting App,6,7760,46560
ORD-00227,2025-02-09,C0262,Osaka,Books,Design Book,2,17886,35772
ORD-00228,2025-06-28,C0053,Osaka,Furniture,Bookshelf,3,8242,24726
ORD-00229,2025-05-12,C0039,Osaka,Office Supplies,Pen Set,10,5509,55090
ORD-00230,2025-11-18,C0297,Fukuoka,Software,Accounting App,10,25399,317487
ORD-00231,2025-12-15,C0162,Osaka,Books,Design Book,10,11090,138625
ORD-00232,2025-08-14,C0156,Nagoya,Electronics,Webcam,8,21189,144085
ORD-00233,2025-10-30,C0159,Fukuoka,Electronics,Monitor,9,2931,26379
ORD-00234,2025-08-20,C0147,Tokyo,Electronics,Keyboard,6,27753,141540
ORD-00235,2025-11-27,C0284,Tokyo,Electronics,Webcam,8,19516,195160
ORD-00236,2025-08-19,C0244,Sapporo,Books,Design Book,4,11035,37519
ORD-00237,2025-03-19,C0176,Tokyo,Electronics,Webcam,2,27073,67682
ORD-00238,2025-09-16,C0225,Fukuoka,Office Supplies,Notebook,4,23687,94748
ORD-00239,2025-09-26,C0191,Nagoya,Books,Design Book,3,12424,37272
ORD-00240,2025-07-18,C0172,Tokyo,Software,Accounting App,10,2215,18827
ORD-00241,2025-06-18,C0077,Nagoya,Electronics,Webcam,5,8757,43785
ORD-00242,2025-02-11,C0159,Fukuoka,Books,Design Book,3,11962,35886
ORD-00243,2025-03-08,C0287,Fukuoka,Books,Design Book,2,10644,26610
ORD-00244,2025-11-26,C0217,Sapporo,Furniture,Desk,9,3562,40072
ORD-00245,2025-07-05,C0110,Nagoya,Electronics,Monitor,5,6406,27225
ORD-00246,2025-09-06,C0040,Nagoya,Office Supplies,Pen Set,3,5577,16731
ORD-00247,2025-02-21,C0173,Sapporo,Books,Design Book,9,1736,15624
ORD-00248,2025-03-09,C0093,Sapporo,Books,Programming Book,3,5816,21810
ORD-00249,2025-03-26,C0122,Fukuoka,Software,Security Tool,7,12437,108823
ORD-00250,2025-11-09,C0274,Osaka,Furniture,Bookshelf,8,8167,81670
ORD-00251,2025-06-08,C0293,Fukuoka,Software,Security Tool,6,22726,136356
ORD-00252,2025-08-25,C0215,Osaka,Furniture,Office Chair,9,17783,136039
ORD-00253,2025-04-13,C0247,Nagoya,Books,Business Book,5,2209,13806
ORD-00254,2025-10-11,C0083,Nagoya,Electronics,Keyboard,5,3248,16240
ORD-00255,2025-08-19,C0114,Fukuoka,Books,Business Book,7,3505,20854
ORD-00256,2025-06-28,C0258,Nagoya,Electronics,Webcam,1,13491,13491
ORD-00257,2025-05-01,C0015,Nagoya,Software,Security Tool,6,7857,47142
ORD-00258,2025-02-20,C0147,Fukuoka,Furniture,Desk,3,1755,5265
ORD-00259,2025-12-23,C0003,Tokyo,Office Supplies,Copy Paper,8,20663,206630
ORD-00260,2025-01-10,C0271,Fukuoka,Furniture,Desk,3,18483,55449
ORD-00261,2025-02-26,C0025,Osaka,Furniture,Desk,5,4492,22460
ORD-00262,2025-08-03,C0256,Sapporo,Books,Programming Book,2,4132,7024
ORD-00263,2025-10-02,C0220,Tokyo,Electronics,Mouse,3,10044,30132
ORD-00264,2025-11-11,C0096,Tokyo,Furniture,Desk,10,14150,176875
ORD-00265,2025-09-26,C0260,Sapporo,Furniture,Desk,9,18328,164952
ORD-00266,2025-10-11,C0199,Nagoya,Electronics,Webcam,8,1926,15408
ORD-00267,2025-05-10,C0124,Tokyo,Electronics,Monitor,2,11798,23596
ORD-00268,2025-10-25,C0280,Nagoya,Furniture,Desk,1,12044,12044
ORD-00269,2025-11-26,C0094,Osaka,Office Supplies,Copy Paper,8,21200,212000
ORD-00270,2025-02-02,C0023,Osaka,Software,Security Tool,5,7105,35525
ORD-00271,2025-01-22,C0279,Fukuoka,Furniture,Office Chair,9,13549,121941
ORD-00272,2025-05-10,C0025,Nagoya,Electronics,Mouse,5,12197,60985
ORD-00273,2025-05-20,C0205,Fukuoka,Electronics,Monitor,7,29646,207522
ORD-00274,2025-07-17,C0255,Nagoya,Furniture,Desk,8,23177,157603
ORD-00275,2025-09-23,C0221,Sapporo,Furniture,Desk,7,3086,21602
ORD-00276,2025-04-03,C0041,Nagoya,Books,Programming Book,6,3861,28957
ORD-00277,2025-12-05,C0219,Osaka,Furniture,Office Chair,8,20246,202460
ORD-00278,2025-12-20,C0181,Sapporo,Software,Accounting App,8,1887,18870
ORD-00279,2025-08-11,C0208,Nagoya,Furniture,Bookshelf,1,2958,2514
ORD-00280,2025-09-20,C0225,Tokyo,Office Supplies,Notebook,3,28309,84927
ORD-00281,2025-03-06,C0197,Sapporo,Electronics,Mouse,6,12366,92745
ORD-00282,2025-01-17,C0191,Fukuoka,Books,Business Book,8,12655,101240
ORD-00283,2025-02-09,C0204,Nagoya,Books,Business Book,9,12524,112716
ORD-00284,2025-11-29,C0096,Fukuoka,Furniture,Desk,2,1349,3372
ORD-00285,2025-09-23,C0134,Fukuoka,Software,Design Tool,2,9077,18154
ORD-00286,2025-04-20,C0063,Osaka,Books,Programming Book,8,7059,70590
ORD-00287,2025-02-07,C0164,Nagoya,Software,Security Tool,8,3376,27008
ORD-00288,2025-12-30,C0081,Osaka,Electronics,Monitor,5,28397,177481
ORD-00289,2025-07-05,C0072,Osaka,Books,Business Book,2,7085,12044
ORD-00290,2025-09-10,C0189,Fukuoka,Electronics,Monitor,9,19252,173268
ORD-00291,2025-10-10,C0204,Fukuoka,Office Supplies,Notebook,2,10634,21268
ORD-00292,2025-09-27,C0065,Nagoya,Software,Accounting App,10,2916,29160
ORD-00293,2025-11-25,C0265,Nagoya,Electronics,Webcam,8,22785,227850
ORD-00294,2025-03-07,C0067,Fukuoka,Books,Design Book,10,6462,80775
ORD-00295,2025-09-15,C0156,Osaka,Electronics,Keyboard,9,5514,49626
ORD-00296,2025-03-24,C0266,Nagoya,Furniture,Bookshelf,4,11838,59190
ORD-00297,2025-02-10,C0065,Nagoya,Furniture,Desk,9,9493,85437
ORD-00298,2025-11-11,C0087,Sapporo,Books,Business Book,9,21503,241908
ORD-00299,2025-10-25,C0173,Sapporo,Office Supplies,Pen Set,10,24113,241130
ORD-00300,2025-01-22,C0296,Nagoya,Electronics,Keyboard,1,21519,21519
ORD-00301,2025-11-30,C0016,Fukuoka,Office Supplies,Copy Paper,10,21438,267975
ORD-00302,2025-11-18,C0126,Fukuoka,Books,Programming Book,5,16325,102031
ORD-00303,2025-06-02,C0226,Fukuoka,Software,Security Tool,1,5679,5679
ORD-00304,2025-09-05,C0074,Nagoya,Software,Security Tool,6,20379,122274
ORD-00305,2025-06-13,C0190,Sapporo,Furniture,Office Chair,3,25425,76275
ORD-00306,2025-10-15,C0063,Nagoya,Electronics,Monitor,4,15785,63140
ORD-00307,2025-08-19,C0149,Fukuoka,Office Supplies,Pen Set,2,2158,3668
ORD-00308,2025-11-12,C0168,Sapporo,Software,Security Tool,3,27156,101835
ORD-00309,2025-06-10,C0240,Fukuoka,Office Supplies,Pen Set,8,17366,138928
ORD-00310,2025-06-07,C0259,Fukuoka,Software,Security Tool,2,13385,26770
ORD-00311,2025-05-04,C0145,Fukuoka,Office Supplies,File Folder,1,2156,2156
ORD-00312,2025-11-02,C0056,Fukuoka,Software,Accounting App,9,767,8628
ORD-00313,2025-03-10,C0207,Nagoya,Furniture,Bookshelf,6,25530,191475
ORD-00314,2025-01-24,C0100,Nagoya,Software,Security Tool,10,18909,189090
ORD-00315,2025-10-11,C0231,Sapporo,Furniture,Desk,7,17023,119161
ORD-00316,2025-05-24,C0066,Tokyo,Books,Design Book,10,4393,43930
ORD-00317,2025-07-21,C0074,Osaka,Furniture,Office Chair,9,12480,95472
ORD-00318,2025-11-05,C0024,Tokyo,Books,Programming Book,9,1819,20463
ORD-00319,2025-03-12,C0077,Sapporo,Furniture,Office Chair,9,15474,174082
ORD-00320,2025-09-21,C0084,Fukuoka,Office Supplies,File Folder,10,10937,109370
ORD-00321,2025-11-12,C0261,Sapporo,Furniture,Bookshelf,6,17123,128422
ORD-00322,2025-09-08,C0009,Nagoya,Books,Programming Book,8,27230,217840
ORD-00323,2025-06-19,C0014,Sapporo,Electronics,Webcam,10,10581,105810
ORD-00324,2025-08-31,C0117,Tokyo,Furniture,Bookshelf,10,19427,165129
ORD-00325,2025-10-26,C0195,Osaka,Software,Security Tool,9,21111,189999
ORD-00326,2025-12-15,C0057,Osaka,Office Supplies,Notebook,10,23454,293175
ORD-00327,2025-01-10,C0212,Osaka,Software,Accounting App,7,5462,38234
ORD-00328,2025-07-30,C0032,Osaka,Books,Design Book,8,29100,197880
ORD-00329,2025-09-23,C0193,Nagoya,Office Supplies,File Folder,8,17718,141744
ORD-00330,2025-03-30,C0182,Nagoya,Software,Design Tool,6,18400,138000
